antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'age_5.0'}),frozenset({'amt_0.0'}),0.10537104517323154,0.9986658183430698,0.10521603331598126,0.9985288951343755,0.9998628938668178,-1.4427741608591393e-05,0.9069249161675718,-0.00015325227112808961
frozenset({'age_8.0'}),frozenset({'amt_0.0'}),0.10487901748703414,0.9986658183430698,0.10471012397092563,0.9983896348368311,0.9997234475225186,-2.8965854780446665e-05,0.8284963481852645,-0.00030894540744857166
frozenset({'hour_21.0'}),frozenset({'amt_0.0'}),0.10340756164806139,0.9986658183430698,0.10321013361096651,0.99809077756067,0.9994241909837729,-5.94635651561537e-05,0.6988089126997798,-0.0006421767064573467
frozenset({'hourEnc_0.0'}),frozenset({'amt_0.0'}),0.7325891221778781,0.9986658183430698,0.7315634218289085,0.9985998968345036,0.9999339904226665,-4.82933800931562e-05,0.9529166777200738,-0.0002468023852519349
frozenset({'amt_0.0'}),frozenset({'hourEnc_0.0'}),0.9986658183430698,0.7325891221778781,0.7315634218289085,0.7325407642795639,0.9999339904226664,-4.82933800931562e-05,0.9998191952572365,-0.04714622390704741
frozenset({'hourEnc_21.0'}),frozenset({'amt_0.0'}),0.267410877822122,0.9986658183430698,0.26710239651416123,0.9988464145121054,1.0001808374390297,4.82933800931562e-05,1.1565520465806665,0.00024680238525193497
frozenset({'count_1_day_0.0'}),frozenset({'amt_0.0'}),0.22699905527599437,0.9986658183430698,0.22673761736749765,0.9988482863588183,1.0001827117864626,4.142006719298763e-05,1.1584317570132132,0.0002363236555024468
frozenset({'count_1_day_1.0'}),frozenset({'amt_0.0'}),0.30922937513255055,0.9986658183430698,0.3088237222125822,0.9986881811606854,1.0000223926935365,6.915240117477683e-06,1.0170471843713327,3.241624833044253e-05
frozenset({'count_1_day_2.0'}),frozenset({'amt_0.0'}),0.12487477586904969,0.9986658183430698,0.1247128231823703,0.9987030792603847,1.0000373106965619,4.652948698377624e-06,1.0287302964450875,4.2633103808434664e-05
frozenset({'count_1_day_3.0'}),frozenset({'amt_0.0'}),0.17030790290550832,0.9986658183430698,0.17006497387548924,0.9985735892118063,0.9999076476539304,-1.570734993228129e-05,0.9353418159573162,-0.00011130706887313015
frozenset({'count_7_days_2.0'}),frozenset({'amt_0.0'}),0.12399097692174214,0.9986658183430698,0.12384213469065108,0.9987995720754341,1.0001339324225458,1.65842559427809e-05,1.1114217102311421,0.0001528688444138519
frozenset({'count_7_days_3.0'}),frozenset({'amt_0.0'}),0.15186766151888484,0.9986658183430698,0.15167408949813946,0.9987253901271055,1.000059651369799,9.047027534014873e-06,1.0467372686361074,7.032842519868543e-05
frozenset({'count_7_days_4.0'}),frozenset({'amt_0.0'}),0.12580099099620182,0.9986658183430698,0.12564752154549136,0.9987800616712543,1.0001143959531669,1.4371923900330374e-05,1.09364680614799,0.00013084305410055117
frozenset({'count_7_days_5.0'}),frozenset({'amt_0.0'}),0.14260011182447413,0.9986658183430698,0.1424227350723967,0.9987561247336484,1.0000904270366722,1.2877701394964358e-05,1.0726008411144676,0.00010545704706698733
frozenset({'count_7_days_6.0'}),frozenset({'amt_0.0'}),0.11154684095860566,0.9986658183430698,0.11138103225557676,0.9985135508849557,0.999847529118032,-1.6984953933416036e-05,0.8975629528297057,-0.00017161058151966098
frozenset({'count_30_days_3.0'}),frozenset({'amt_0.0'}),0.1042813349528602,0.9986658183430698,0.10414945919370698,0.9987353848201806,1.0000696594154252,7.2544851010825084e-06,1.0550099968915518,7.776388507575682e-05
frozenset({'count_30_days_4.0'}),frozenset({'amt_0.0'}),0.1227724757552972,0.9986658183430698,0.12263211676017506,0.9988567551948541,1.000191191936559,2.3441790006489827e-05,1.167013093717851,0.0002179085629519284
frozenset({'count_30_days_5.0'}),frozenset({'amt_0.0'}),0.125249580658222,0.9986658183430698,0.1250830007519232,0.9986700162553568,1.000004203520547,5.257867535801708e-07,1.0031563636051306,4.805373949529576e-06
frozenset({'count_30_days_6.0'}),frozenset({'amt_0.0'}),0.12148379509129119,0.9986658183430698,0.12133418165693023,0.9987684494524679,1.0001027682208734,1.2468016664116122e-05,1.0833348737522657,0.0001169672910724069
frozenset({'count_30_days_7.0'}),frozenset({'amt_0.0'}),0.10341835849384001,0.9986658183430698,0.10328262671833728,0.9986875466070096,1.00002175729212,2.2471013895880576e-06,1.016555455649638,2.426641115912972e-05
frozenset({'time_diff_0.0'}),frozenset({'amt_0.0'}),0.1851566506641988,0.9986658183430698,0.18483814371372934,0.9982797974076172,0.9996134633544452,-7.14743434946652e-05,0.775595655324599,-0.00047432760950089206
frozenset({'time_diff_1.0'}),frozenset({'amt_0.0'}),0.1368770123585324,0.9986658183430698,0.13668112672797733,0.9985688931458998,0.9999029453142486,-1.3266831410896351e-05,0.9322725644893134,-0.00011244422100864606
frozenset({'time_diff_2.0'}),frozenset({'amt_0.0'}),0.10595947326816665,0.9986658183430698,0.1058106310370756,0.9985952909494523,0.9999293783843183,-7.473045478684215e-06,0.9497921697094776,-7.89908538587046e-05
frozenset({'category_gas_transport'}),frozenset({'amt_0.0'}),0.10153585131200957,0.9986658183430698,0.10153585131200957,1.0,1.0013359640756943,0.00013546727034127737,inf,0.0014849581464975528
frozenset({'gender_F'}),frozenset({'amt_0.0'}),0.5474486667823472,0.9986658183430698,0.5466689802764764,0.9985757815240406,0.999909842895015,-4.929053653890403e-05,0.9367815959777234,-0.0001991978957516888
frozenset({'gender_M'}),frozenset({'amt_0.0'}),0.45255133321765284,0.9986658183430698,0.4519968380665934,0.998774735349652,1.0001090625157902,4.929053653890403e-05,1.0888926376446804,0.0001991978957516888
frozenset({'hour_21.0'}),frozenset({'hourEnc_21.0'}),0.10340756164806139,0.267410877822122,0.10340756164806139,1.0,3.739563656289204,0.0757552548143081,inf,0.8170815309623607
